id,user,chat,query,model,stage,status,feedback,date,time,retryCount
Q-CSV-01,user_10,C-CSV-01,17일 가입자 수,GPT-4,5. 결과 요약,SUCCESS,5,2025-12-17,09:10:00,0
Q-CSV-02,manager,C-CSV-02,강남구 매출 순위,Claude 3.5,5. 결과 요약,SUCCESS,4,2025-12-17,10:05:22,0
Q-CSV-03,user_03,C-CSV-03,서버 로그 조회,Llama 3,2. 질문 분석,FAIL,1,2025-12-17,10:45:10,0
Q-CSV-04,admin,C-CSV-04,비정상 접근 IP,GPT-4,5. 결과 요약,SUCCESS,5,2025-12-17,11:30:00,0
Q-CSV-05,user_12,C-CSV-05,카테고리별 재고,Claude 3.5,4. SQL 생성,ERROR,2,2025-12-17,13:20:15,1
Q-CSV-06,manager,C-CSV-06,12월 프로모션 성과,GPT-4,5. 결과 요약,SUCCESS,5,2025-12-17,14:10:30,0
Q-CSV-07,user_05,C-CSV-07,주간 활성 유저,Llama 3,5. 결과 요약,SUCCESS,3,2025-12-17,15:55:00,0
Q-CSV-08,user_02,C-CSV-08,결제 오류 내역,Claude 3.5,3. 메타 조회,FAIL,null,2025-12-17,16:40:20,0
Q-CSV-09,admin,C-CSV-09,DB 커넥션 상태,GPT-4,5. 결과 요약,SUCCESS,5,2025-12-17,17:25:45,0
Q-CSV-10,user_08,C-CSV-10,이탈 위험 고객,GPT-4,1. 모델 상태 확인,BLOCKED,null,2025-12-17,18:00:00,0